sirs_id,caid,filing_date,study_engineer,engineer_license,structural_findings,estimated_repair_cost,next_due_date,compliance_status
SIRS-9XVHQ25A4Q,CA-FL-00000028,2021-10-09,"Morgan Ibarra, P.E.",PE-86095,NO_SIGNIFICANT_FINDINGS,2137613.31,2031-10-07,OVERDUE
SIRS-CDU1W9DQ2H,CA-FL-00000031,2023-12-19,"Morgan Ibarra, P.E.",PE-64665,MODERATE_REPAIRS_NEEDED,2264690.63,2033-12-16,COMPLIANT
SIRS-ZKGF8Z8C6P,CA-FL-00000040,2023-11-01,"Riley Whitfield, P.E.",PE-96452,MODERATE_REPAIRS_NEEDED,2264585.97,2033-10-29,COMPLIANT
SIRS-S0W1SFM6Y3,CA-FL-00000074,2023-01-07,"Morgan Ramsey, P.E.",PE-10288,NO_SIGNIFICANT_FINDINGS,255620.79,2033-01-04,OVERDUE
SIRS-KNK96LQ1S1,CA-FL-00000131,2023-12-16,"Alex Quintero, P.E.",PE-68838,MAJOR_STRUCTURAL_CONCERNS,1773772.05,2033-12-13,COMPLIANT
SIRS-IIRO2TIRMM,CA-FL-00000152,2023-07-18,"Jordan Castillo, P.E.",PE-60348,MAJOR_STRUCTURAL_CONCERNS,1866787.76,2033-07-15,COMPLIANT
SIRS-K2S6AVPSC9,CA-FL-00000167,2022-06-14,"Jordan Young, P.E.",PE-82512,NO_SIGNIFICANT_FINDINGS,67792.96,2032-06-11,COMPLIANT
SIRS-KC4BD3UM2R,CA-FL-00000190,2023-02-09,"Casey Pruitt, P.E.",PE-94432,NO_SIGNIFICANT_FINDINGS,2056742.5,2033-02-06,OVERDUE
SIRS-CA4SLUYO48,CA-FL-00000219,2022-03-09,"Riley Herrera, P.E.",PE-30635,NO_SIGNIFICANT_FINDINGS,320996.23,2032-03-06,COMPLIANT
SIRS-EW1PAW6MMY,CA-FL-00000272,2022-06-13,"Taylor Pruitt, P.E.",PE-62861,MINOR_REPAIRS_NEEDED,1957582.45,2032-06-10,COMPLIANT
SIRS-GM08FPJWS3,CA-FL-00000290,2022-10-13,"Taylor Whitfield, P.E.",PE-35781,NO_SIGNIFICANT_FINDINGS,491962.27,2032-10-10,COMPLIANT
SIRS-AAQXIWE64O,CA-FL-00000293,2022-09-19,"Casey Ortega, P.E.",PE-57217,MINOR_REPAIRS_NEEDED,1275525.98,2032-09-16,COMPLIANT
SIRS-J3U4NHI224,CA-FL-00000295,2022-02-12,"Alex Castillo, P.E.",PE-20896,NO_SIGNIFICANT_FINDINGS,100839.89,2032-02-10,COMPLIANT
SIRS-IP3PER4STA,CA-FL-00000296,2023-01-05,"Morgan Herrera, P.E.",PE-58880,MODERATE_REPAIRS_NEEDED,2310351.75,2033-01-02,COMPLIANT
